127.0.0.1 - - [12/Aug/2022:13:30:11 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:22 +0900] "GET /ch2/ HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:22 +0900] "GET /ch2/css/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:25 +0900] "GET /ch2/ HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:26 +0900] "GET /ch2/board/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:26 +0900] "GET /ch2/login/login;jsessionid=38F7504AFF3D47476E54CD070851E2CD?toURL=http://localhost/ch2/board/list HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:31 +0900] "GET /ch2/register/add HTTP/1.1" 200 3797
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:34 +0900] "GET /ch2/login/login HTTP/1.1" 200 3106
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:39 +0900] "POST /ch2/login/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:39 +0900] "GET /ch2/login/login?msg=id+%EB%98%90%EB%8A%94+pwd%EA%B0%80+%EC%9D%BC%EC%B9%98%ED%95%98%EC%A7%80+%EC%95%8A%EC%8A%B5%EB%8B%88%EB%8B%A4. HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:43 +0900] "POST /ch2/login/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:43 +0900] "GET /ch2/login/login?msg=id+%EB%98%90%EB%8A%94+pwd%EA%B0%80+%EC%9D%BC%EC%B9%98%ED%95%98%EC%A7%80+%EC%95%8A%EC%8A%B5%EB%8B%88%EB%8B%A4. HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:49 +0900] "POST /ch2/login/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:49 +0900] "GET /ch2/ HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:53 +0900] "GET /ch2/board/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:30:53 +0900] "GET /ch2/login/login?toURL=http://localhost/ch2/board/list HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:32:06 +0900] "GET /ch2/ HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:32:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:32:13 +0900] "GET /ch2/ HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:32:22 +0900] "GET /ch2/board/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:32:22 +0900] "GET /ch2/login/login;jsessionid=6E093325B0F704C69E197E0F5A6C7E0E?toURL=http://localhost/ch2/board/list HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:32:27 +0900] "POST /ch2/login/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:32:27 +0900] "GET /ch2/login/login?msg=id+%EB%98%90%EB%8A%94+pwd%EA%B0%80+%EC%9D%BC%EC%B9%98%ED%95%98%EC%A7%80+%EC%95%8A%EC%8A%B5%EB%8B%88%EB%8B%A4. HTTP/1.1" 200 3203
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:33:12 +0900] "POST /ch2/login/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:33:12 +0900] "GET /ch2/ HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:33:17 +0900] "GET /ch2/board/list HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:33:18 +0900] "GET /ch2/login/login?toURL=http://localhost/ch2/board/list HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:33:22 +0900] "POST /ch2/login/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Aug/2022:13:33:22 +0900] "GET /ch2/ HTTP/1.1" 200 741
